КБК;ОКВЭД; ОКДП;Условия контракта: № заказа (№лота);Условия контракта: Наименование предмета контракта;Условия контракта:Минимально необходимые требования, предъявляемые к предмету контракта ;Условия контракта: Единица измерения;Условия контракта: Количество (объем);Условия контракта: Начальная (максимальная) цена контракта (в тыс. рублей);Условия контракта: Размер обеспечения заявки (в тыс. рублей) / размер обеспечения исполнения контракта (в тыс. рублей);График осуществления процедур закупки: срок размещения заказа (мес., год);График осуществления процедур закупки: срок исполнения контракта (мес., год);Способ размещения заказа;Обоснование внесения изменений
10304082480019200000;64.20;6420000;1;Оказание услуг местной телефонной связи в 2015 году;Оказание услуг местной телефонной связи в 2015 году, в объеме, предусмотренном государственным контрактом 0173100013913000130-0033769-02;Комплекс услуг;1;4 959,18;49,5918 / 1487,754;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;64.20;6420000;2;Оказание услуг внутризоновой, междугородной, международной телефонной связи телефонной связи в 2015 году;Оказание услуг внутризоновой, междугородной, международной телефонной связи в 2015 году, в объеме, предусмотренном государственным контрактом 0173100013913000154-0033769-02;Комплекс услуг;1;1 000,00;10 / 300;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;64.20;6420000;3;Оказание услуг телеграфной связи в 2015 году;Оказание услуг телеграфной связи в 2015 году, в объеме, предусмотренном государственным контрактом 0173100013913000153-0033769-02;Комплекс услуг;1;2 000,00;20 / 600;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;64.20;6420000;4;Оказание услуг связи по предоставлению доступа к сети Интернет  в 2015 году;Оказание услуг связи по предоставлению доступа к сети Интернет  в 2015 году в объеме, предусмотренном государственным контрактом 0173100013913000155-0033769-01;Комплекс услуг;1;500;5 / 150;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;64.20;6420000;5;Оказание услуг сотовой радиотелефонной связи в 2015 году;Оказание услуг сотовой радиотелефонной связи в 2015 году в объеме, предусмотренном государственным контрактом 0173100013913000127-0033769-02;Комплекс услуг;1;12 500,00;125 / 3750;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;64.20;6420000;6;Оказание услуг сотовой радиотелефонной связи в 2014 году;Оказание услуг сотовой радиотелефонной связи в 2014 году;Комплекс услуг;1;99,99;-;03.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;7;Оказание услуг сотовой радиотелефонной связи в 2014 году;Оказание услуг сотовой радиотелефонной связи в 2014 году;Комплекс услуг;1;99,99;-;07.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
"10304082480019242225
10304082480019242226";72.50;7250000;8;Оказание услуг по обслуживанию средств вычислительной техники, оргтехники, кабельных систем и программного обеспечения;Оказание услуг по обслуживанию средств вычислительной техники, оргтехники, кабельных систем и программного обеспечения в 2015 году;Комплекс услуг;5;9 446,80;94,468 / 2834,04;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;72.60;7260000;9;Модернизация и сопровождение системы КВАРТА в 2015 году;Модернизаия системы КВАРТА в 2015 году, в объеме, предусмотренном государственным контрактом ОХО-413/13;Комплекс работ;1;4 600,00;46 / 1380;12.2014г.;12.2015г.;Открытый конкурс;-
10304082480019200000;72.60;7260000;10;Модернизация и сопровождение системы КДС в 2015 году;Модернизация и сопровождение системы КДС, в объеме, предусмотренном государственным контрактом ОХО-377/1;Комплекс работ;1;1 680,00;16,8 / 504;12.2014г.;12.2015г.;Открытый конкурс;-
10304082480019200000;72.60;7260000;11;Оказание услуг по изготовлению усиленного ключа электронной цифровой подписи;Оказание услуг по изготовлению усиленного ключа электронной цифровой подписи;Комплекс услуг;1;3,4;-;06.2014г.;07.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;60.20;6022020;12;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году, в объеме, предусмотренном государственным контрактом 0173100013913000132-0033769-02;Комплекс услуг;1;16 107,32;161,07315 / 4832,1945;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;60.20;6022020;13;Оказание автотранспортных услуг в 2015 году;10 автомобилей Д класса, 2 автомобиля бизнес класса, 9 автомобилей среднего класса  в 2015 году, в объеме, предусмотренном государственным контрактом 0173100013913000078-0033769-01;Комплекс услуг;1;46 591,00;465,91 / 13977,3;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;70.32.2;7020020;14;Оказание услуг по эксплуатации инженерных систем ;Оказание услуг по эксплуатации инженерных систем в 2015 году;Комплекс услуг;1;9 500,90;95,009 / 2850,27;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;70.32.2;7020020;15;Оказание услуг по уборке помещений в 2015 году;Оказание услуг по уборке помещений в объеме, предусмотренном государственным контрактом 0173100013913000128-0033769-01;Комплекс услуг;1;14 374,00;143,74 / 4312,2;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;70.32.2;7020020;16;Оказание услуг по химчистке штор;Оказание услуг по химчистке штор;Комплекс услуг;1;97,36;-;07.2014г.;08.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;29.22.9;9460000;17;Оказание услуг по обслуживанию лифтов в 2015 году;Оказание услуг по обслуживанию лифтов в 2015 году  в объеме, предусмотренном государственным контрактом 0173100013913000156-0033769-01;Комплекс услуг;1;1 500,00;15 / 450;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;70.32.2;7020020;18;Оказание услуг по техническому обслуживанию автоматических установок водяного пожаротушения, газового пожаротушения, дымоудаления административного здания Министерства транспорта Российской Федерации в 2015 году;Оказание услуг по техническому обслуживанию автоматических установок водяного пожаротушения, газового пожаротушения, дымоудаления административного здания Министерства транспорта Российской Федерации в 2015 году;Комплекс услуг;1;998,33;9,98331 / 299,4993;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;-
10304082480019200000;70.32.2;7020020;19;Оказание услуг по обращению с отходами;Оказание услуг по обращению с отходами;Комплекс услуг;1;100;-;07.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.60;7260000;20;Оказание услуг по предоставлению общественно-политических и финансово-экономических новостей, а также доступов к электронным архивам периодических печатных изданий информационных агентств с наличием настройки автоматического мониторинга и анализа текстовой информации в 2015 году;Оказание услуг по предоставлению общественно-политических и финансово-экономических новостей, а также доступов к электронным архивам периодических печатных изданий информационных агентств с наличием настройки автоматического мониторинга и анализа текстовой информации в 2015 году ;Комплекс услуг;1;1 089,36;10,8936 / 326,808;12.2014г.;12.2015г.;Открытый конкурс;-
