KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;64.20;6420000;1;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000130-0033769-02;Kompleks uslug;1;4959,18;49,5918 / 1487,754;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;2;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi telefonnoj svjazi v 2015 godu;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000154-0033769-02;Kompleks uslug;1;1000;10 / 300;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;3;Okazanie uslug telegrafnoj svjazi v 2015 godu;Okazanie uslug telegrafnoj svjazi v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000153-0033769-02;Kompleks uslug;1;2000;20 / 600;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;4;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000155-0033769-01;Kompleks uslug;1;500;5 / 150;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;5;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2015 godu;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2015 godu v ob#eme, predusmotrennom gosudarstvennym kontraktom 0173100013913000127-0033769-02;Kompleks uslug;1;12500;125 / 3750;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;6;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2014 godu;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2014 godu;Kompleks uslug;1;99,99;-;03.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;7;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2014 godu;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2014 godu;Kompleks uslug;1;99,99;-;07.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
"10304082480019242225
10304082480019242226";72.50;7250000;8;Okazanie uslug po obsluzhivaniju sredstv vychislitel'noj tehniki, orgtehniki, kabel'nyh sistem i programmnogo obespechenija;Okazanie uslug po obsluzhivaniju sredstv vychislitel'noj tehniki, orgtehniki, kabel'nyh sistem i programmnogo obespechenija v 2015 godu;Kompleks uslug;5;9446,8;94,468 / 2834,04;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;72.60;7260000;9;Modernizacija i soprovozhdenie sistemy KVARTA v 2015 godu;Modernizaija sistemy KVARTA v 2015 godu, v ob#eme, predusmotrennom gosudarstvennym kontraktom OHO-413/13;Kompleks rabot;1;4600;46 / 1380;12.2014г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;72.60;7260000;10;Modernizacija i soprovozhdenie sistemy KDS v 2015 godu;Modernizacija i soprovozhdenie sistemy KDS, v ob#eme, predusmotrennom gosudarstvennym kontraktom OHO-377/1;Kompleks rabot;1;1680;16,8 / 504;12.2014г.;12.2015г.;Otkrytyj konkurs;-
